"Country (or dependent territory)","1985","%","1990","%","1995","%","2000","%","2005","%","2010","%","2015","%"
"Oman","1,498",4.78,"1,795",3.69,"2,139",3.57,"2,433",2.61,"2,697",2.09,"2,968",1.93,"3,287",2.06
"Pakistan","102,079",3.68,"118,817",3.08,"134,186",2.46,"152,430",2.58,"169,279",2.12,"184,405",1.73,"199,086",1.54
"Palau","14",0.73,"16",1.95,"18",2.61,"20",2.41,"21",0.84,"21",0.54,"22",0.37
"Palestine","1,578",3,"1,899",3.77,"2,508",5.72,"3,111",4.4,"3,599",2.96,"4,120",2.74,"4,656",2.48
"Panama","2,168",2.04,"2,394",2,"2,639",1.97,"2,900",1.91,"3,156",1.7,"3,411",1.57,"3,658",1.4
"Papua New Guinea","3,229",2.55,"3,683",2.67,"4,216",2.74,"4,813",2.68,"5,440",2.48,"6,065",2.2,"6,673",1.93
"Paraguay","3,634",2.76,"4,201",2.94,"4,826",2.81,"5,419",2.34,"5,926",1.81,"6,376",1.48,"6,784",1.25
"Peru","19,380",2.3,"21,565",2.16,"23,864",2.05,"25,797",1.57,"27,443",1.24,"28,948",1.07,"30,445",1.01
"Philippines","54,589",2.48,"61,481",2.41,"68,472",2.18,"76,452",2.23,"84,965",2.13,"93,137",1.85,"100,999",1.63
"Poland","37,226",0.91,"38,120",0.48,"38,601",0.25,"38,655",0.03,"38,557",-0.05,"38,617",0.03,"38,563",-0.03
"Portugal","9,898",0.24,"9,923",0.05,"10,066",0.29,"10,336",0.53,"10,567",0.44,"10,736",0.32,"10,826",0.17
"Puerto Rico","3,383",1.05,"3,537",0.9,"3,684",0.81,"3,811",0.68,"3,822",0.06,"3,722",-0.53,"3,599",-0.67
"Qatar","343",8.37,"434",4.83,"510",3.3,"640",4.65,"973",8.73,"1,720",12.07,"2,195",5
"Republic of the Congo","1,927",2.83,"2,221",2.89,"2,570",2.95,"2,940",2.73,"3,473",3.39,"4,238",4.06,"4,756",2.33
"Romania","22,522",0.35,"22,866",0.3,"22,688",-0.16,"22,448",-0.21,"22,198",-0.22,"21,960",-0.22,"21,667",-0.27
"Russia","143,938",0.69,"147,973",0.55,"148,759",0.11,"147,054",-0.23,"143,320",-0.51,"142,527",-0.11,"142,424",-0.01
"Rwanda","5,987",3.1,"7,000",3.18,"5,473",-4.8,"8,399",8.94,"9,612",2.73,"11,056",2.84,"12,662",2.75
"Saint Barthélemy","4",6.17,"6",5.11,"7",4.02,"8",2.99,"8",1.26,"8",-0.47,"8",-0.46
"Saint Helena, Ascension and Tristan da Cunha","8",4.19,"7",-3.4,"7",0.78,"8",0.8,"8",0.68,"8",0.51,"8",0.32
"Saint Kitts and Nevis","43",-0.3,"42",-0.6,"44",0.7,"46",1.14,"48",0.97,"50",0.82,"52",0.8
"Saint Lucia","132",1.36,"138",0.98,"147",1.27,"154",0.91,"158",0.53,"161",0.45,"164",0.37
"Saint Martin","16",15.22,"31",14.31,"33",1.72,"29",-2.8,"28",-0.34,"31",1.62,"32",0.99
"Saint Pierre and Miquelon","7",0.56,"7",0.52,"7",0.26,"7",0.02,"7",-0.66,"6",-0.84,"6",-0.98
"Saint Vincent and the Grenadines","104",1.14,"108",0.67,"109",0.26,"108",-0.17,"107",-0.33,"105",-0.35,"103",-0.31
"Samoa","161",0.21,"163",0.26,"169",0.73,"177",0.85,"185",0.92,"193",0.8,"198",0.59
"San Marino","23",1.03,"24",0.77,"25",1.18,"28",1.71,"30",1.8,"32",1.23,"34",0.96
"São Tomé and Príncipe","105",2.06,"116",2.16,"128",1.86,"141",2.05,"158",2.29,"176",2.22,"195",1.99
"Saudi Arabia","13,331",5.87,"16,061",3.8,"18,756",3.15,"21,312",2.59,"23,643",2.1,"25,732",1.71,"27,753",1.52
"Senegal","6,379",2.6,"7,348",2.87,"8,379",2.66,"9,470",2.48,"10,805",2.67,"12,324",2.67,"13,976",2.55
"Serbia","7,720",0.35,"7,787",0.17,"7,692",-0.25,"7,605",-0.23,"7,503",-0.27,"7,345",-0.42,"7,177",-0.46
"Seychelles","68",0.99,"71",1.06,"75",1.14,"80",1.1,"84",1.17,"89",1.04,"93",0.91
"Sierra Leone","3,704",2.12,"4,229",2.69,"3,882",-1.7,"3,810",-0.38,"4,709",4.33,"5,246",2.19,"5,880",2.31
"Singapore","2,750",2.64,"3,048",2.07,"3,567",3.2,"4,064",2.64,"4,606",2.54,"5,141",2.22,"5,675",2
"Sint Maarten","20",9.24,"30",8.68,"32",1.74,"31",-0.73,"34",1.81,"38",2.38,"41",1.54
"Slovakia","5,145",0.71,"5,263",0.45,"5,362",0.37,"5,401",0.14,"5,408",0.03,"5,427",0.07,"5,446",0.07
"Slovenia","1,915",0.87,"1,992",0.79,"2,003",0.12,"2,011",0.08,"2,012",0.01,"2,004",-0.08,"1,984",-0.2
"Solomon Islands","273",3.41,"322",3.31,"376",3.15,"434",2.95,"496",2.71,"560",2.44,"623",2.17
"Somalia","6,459",2.2,"6,693",0.71,"6,401",-0.89,"7,501",3.22,"8,791",3.22,"9,768",2.13,"10,617",1.68
"South Africa","34,255",3.21,"38,504",2.37,"42,148",1.82,"44,914",1.28,"48,105",1.38,"51,123",1.22,"53,676",0.98
"South Korea","40,807",1.37,"42,870",0.99,"45,106",1.02,"46,839",0.76,"48,006",0.49,"48,637",0.26,"49,116",0.2
"South Sudan","5,320",2.65,"4,960",-1.39,"5,193",0.92,"6,297",3.93,"7,634",3.93,"9,585",4.66,"12,043",4.67
"Spain","38,535",0.55,"39,351",0.42,"39,765",0.21,"40,590",0.41,"43,705",1.49,"46,506",1.25,"48,147",0.7
"Sri Lanka","15,848",1.03,"16,862",1.25,"17,942",1.25,"19,042",1.2,"20,103",1.09,"21,084",0.96,"22,054",0.9
"Sudan","17,507",3.44,"21,130",3.83,"24,517",3.02,"27,068",2,"29,884",2,"32,997",2,"36,109",1.82
"Suriname","395",2.18,"417",1.07,"428",0.55,"465",1.64,"504",1.65,"546",1.62,"580",1.21
"Eswatini","722",3.37,"882",4.09,"1,004",2.63,"1,144",2.65,"1,259",1.94,"1,355",1.47,"1,436",1.18
"Sweden","8,357",0.11,"8,601",0.58,"8,878",0.64,"8,925",0.1,"9,083",0.35,"9,433",0.76,"9,802",0.77
"Switzerland","6,568",0.56,"6,844",0.83,"7,165",0.92,"7,278",0.31,"7,449",0.47,"7,770",0.85,"8,122",0.89
"Syria","10,479",3.7,"12,534",3.65,"14,487",2.94,"16,515",2.65,"18,615",2.42,"21,766",3.18,"17,065",-4.75
"Taiwan","19,338",1.62,"20,279",0.95,"21,291",0.98,"22,185",0.83,"22,728",0.48,"23,127",0.35,"23,416",0.25
"Tajikistan","4,569",2.87,"5,273",2.91,"5,679",1.49,"6,230",1.87,"6,815",1.81,"7,488",1.9,"8,192",1.81
"Tanzania","21,485",2.87,"24,805",2.92,"29,065",3.22,"33,194",2.69,"38,487",3,"44,289",2.85,"51,046",2.88
"Thailand","51,759",1.94,"56,097",1.62,"59,818",1.29,"62,902",1.01,"65,113",0.69,"66,721",0.49,"67,977",0.37
"Gambia","773",3.44,"952",4.25,"1,162",4.08,"1,357",3.15,"1,548",2.67,"1,756",2.55,"1,968",2.31
"Togo","3,130",3.57,"3,721",3.52,"4,203",2.47,"4,992",3.5,"5,715",2.74,"6,588",2.88,"7,553",2.77
"Tonga","95",0.55,"97",0.39,"98",0.24,"101",0.55,"104",0.63,"106",0.45,"107",0.16
"Trinidad and Tobago","1,190",1.74,"1,256",1.09,"1,265",0.14,"1,252",-0.2,"1,237",-0.24,"1,229",-0.13,"1,223",-0.1
"Tunisia","7,364",2.71,"8,208",2.19,"8,947",1.74,"9,508",1.22,"10,013",1.04,"10,526",1,"11,038",0.95
"Turkey","50,989",2.51,"56,545",2.09,"61,296",1.63,"65,970",1.48,"70,465",1.33,"74,687",1.17,"79,415",1.24
"Turkmenistan","3,241",2.42,"3,659",2.46,"4,079",2.2,"4,386",1.46,"4,665",1.24,"4,941",1.16,"5,232",1.15
